platform,post_id,post_type,post_content,post_timestamp,likes,comments,shares,impressions,reach,engagement_rate,audience_age,audience_gender,audience_location,audience_interests,campaign_id,sentiment,influencer_id
Twitter,bde31374-daa4-4821-babf-2770d901f0ac,Image,Market skill physical.,01/28/2023 18:40:47,252,70,117,9801,2192,20.03,32,Other,New Zealand,others,,Positive,
Twitter,c7cdb682-265f-4823-a033-2a0bd88c8c3d,Video,Subject structure role who themselves.,09/16/2022 04:22:21,915,489,89,8910,3579,41.72,57,Other,Latvia,green,,Positive,aca49940-8445-483f-9ab8-0db0167bb2db
Instagram,ffb7d4f4-7616-457e-b40f-bb9f9c579ad8,Link,Sense despite hair way air if rise.,09/29/2023 17:26:21,266,207,37,9118,707,72.14,23,Other,Costa Rica,popular,1675517b-a4f0-4dd6-9607-cf40068e1179,Negative,
Twitter,a34fccfb-f65f-4bee-b792-c90c747926b3,Link,Authority almost leader case worker few interesting agree.,11/02/2023 15:29:07,838,308,102,3459,2125,58.73,44,Male,Reunion,travel,,Positive,
LinkedIn,d6d328d6-e5c5-44f1-893f-782c56826325,Link,Occur unit oil.,04/09/2023 09:27:00,655,296,128,2934,1144,94.32,53,Other,Bangladesh,chair,93a37ec1-23dc-485d-aff9-8566f0e29371,,
LinkedIn,14d34185-639a-4508-a8b6-02a743fe0dbc,Link,Seem strategy you cup.,10/26/2023 20:53:33,573,192,19,1949,2797,28.03,40,Male,Gabon,part,,Negative,
Twitter,3e8a3f4a-cce1-4ad2-b0ab-e981bff6e10f,Image,Approach car movie husband main his.,08/03/2022 00:38:10,816,206,52,6827,501,214.37,47,Male,Pitcairn Islands,expect,,Neutral,
Instagram,5e5d748d-add3-47c1-a642-1d4b50abda3e,Video,Would describe according if.,07/06/2023 14:11:57,976,393,170,3286,925,166.38,27,Other,Mexico,attention,cf634e0b-9fb0-49f6-b416-24cdb18adb10,,
Twitter,4fb57935-8d9b-4386-ae17-ee955a2e848d,Link,Inside name charge management adult.,01/17/2024 15:38:38,430,223,86,2813,3265,22.63,33,Other,Afghanistan,several,,Neutral,
Instagram,0c0c6343-8950-454f-9232-df4ca691e295,Video,Cause right process while by suddenly.,07/16/2022 09:03:38,497,67,26,9628,4876,12.1,35,Female,Kiribati,American,,Negative,
Twitter,6c61614d-0d18-4aad-9d2a-bfee108dbe0d,Video,Artist four if treatment science.,05/07/2021 04:01:30,403,233,121,3182,3004,25.2,20,Female,Czech Republic,color,,,
Instagram,8c2cb087-24b0-4b94-a431-54a3e4287403,Video,Fight half reveal safe order work.,05/30/2023 01:27:07,455,365,57,9250,2309,37.98,35,Male,Cocos (Keeling) Islands,forward,,Negative,
Facebook,830043bd-1a2d-47f8-bafb-d1b60e356b21,Link,Road particular upon maintain bed at society law.,04/11/2022 04:12:23,679,407,180,7980,1509,83.9,57,Female,Gambia,with,,,
Facebook,35ba37ae-7b67-46ba-8d6a-71a811739ff8,Video,Adult character admit.,02/06/2023 13:02:02,430,301,146,3606,1056,83.05,53,Male,Aruba,door,,Neutral,50fa2d5d-a67a-486e-b162-8c5f355abe7e
LinkedIn,85a05754-cca1-4044-bb53-7d60a5251f95,Link,Herself list prove whom glass training.,03/13/2022 12:42:07,979,464,53,9541,3937,38.0,37,Male,Somalia,fact,47fce5af-c41a-4b7e-8980-af36aed9e81a,Positive,
Instagram,253c95f7-431d-4fb6-9714-f2ed7e88ffd5,Image,She significant agreement.,10/01/2021 08:57:50,272,214,200,7410,3635,18.87,64,Female,Liechtenstein,on,153eb565-d429-4d02-a12d-4cc7daebab24,Neutral,
Twitter,d38fb961-2499-4488-a127-b6624e63f4dd,Image,Late event guess price.,07/12/2022 08:53:48,973,309,164,3404,3917,36.92,34,Female,Moldova,husband,,Neutral,
Facebook,ad0800ff-7c2c-43ad-8e0e-5475beac8c28,Image,Look other fill alone trip.,07/15/2022 08:32:25,823,171,162,8895,4580,25.24,21,Male,Moldova,hope,7d9823e4-05d4-45e4-ad21-ec30abae5db1,,
Facebook,91c4a56f-b710-4272-9fae-df8932aa8d72,Image,Attack agency benefit good.,08/21/2021 05:48:54,137,327,141,1010,4631,13.06,18,Male,Hong Kong,coach,,,020d4653-f752-4176-a694-21b10355604e
Facebook,b500076f-b136-4e13-818d-9ef714790f4d,Image,Company street those return.,04/12/2022 16:30:04,658,36,128,3258,3626,22.67,47,Other,Rwanda,standard,,Negative,
Facebook,14ca12b7-e129-4cd8-8612-b9ede3064b47,Link,Mind still page food memory.,07/02/2023 10:57:10,352,476,104,1436,4242,21.97,47,Male,United States Virgin Islands,born,,,
Instagram,2593949a-51e2-457c-a9ee-7ccfaff77f05,Video,Federal candidate Republican window north.,06/05/2023 13:17:31,185,403,89,3945,1378,49.13,48,Other,Nicaragua,range,,Positive,
LinkedIn,5551a96f-6aa0-47b7-981c-8bb5c8df348c,Image,Individual because energy eight collection nor.,01/25/2023 13:31:53,917,136,126,9599,798,147.74,40,Female,Malaysia,next,fadc7096-6408-4dee-a404-9f685895e677,Neutral,
Facebook,2200f14d-0331-4475-98b3-68d22bdd7431,Image,Myself matter these parent matter enough nothing.,06/29/2023 12:59:56,455,325,4,5589,3335,23.51,64,Other,Saint Martin,rate,,Negative,
Facebook,04d1232c-6dee-4a6e-8760-d86df5425f2c,Link,Guy scientist bad long discuss science.,01/01/2024 15:51:28,177,301,88,9898,1080,52.41,25,Female,Central African Republic,tell,42035772-b49d-4420-8ecf-9fd39020f193,Neutral,
Facebook,4e8144e1-78f2-40af-881c-82082ef4ac9e,Image,Put foreign describe store.,12/24/2022 08:53:19,431,395,7,2280,1213,68.67,62,Female,Congo,sister,,,
LinkedIn,eb44a413-146b-48f6-9613-b28f4f6db540,Link,Fact miss time number wide red break.,10/28/2022 01:08:53,897,337,125,7284,2401,56.6,20,Female,Bouvet Island (Bouvetoya),stage,,Positive,
Instagram,7b538846-0d09-4f5e-97bf-1acf5d7c2cf6,Image,Share much because speak see.,01/10/2023 21:34:53,378,23,162,3402,2405,23.41,52,Female,Brunei Darussalam,require,,Neutral,
LinkedIn,f493948e-7b92-4db7-ae77-ed37805f4a18,Video,Level thank guy my.,05/13/2023 01:42:41,848,249,39,2391,2033,55.88,26,Other,Egypt,human,,,
Facebook,a344d906-55d0-46ad-9945-79fb9735996e,Image,Call us long evening floor.,12/29/2021 11:00:22,574,41,31,8529,1150,56.17,39,Female,Argentina,before,e914ac56-c62d-4a48-979b-fc62ab9ed295,Negative,
Facebook,5faf2d73-23d1-4beb-8725-dfedc728a1e8,Link,Question learn run nearly believe political series.,04/28/2021 10:01:03,549,374,98,2118,2409,42.38,44,Male,Norfolk Island,chair,c4de6290-0b01-4646-ba8b-cca498ac1259,,
Facebook,e3b1c35f-bfd8-4298-b255-63507a2afc9a,Video,Conference put put service.,07/11/2022 13:56:42,206,442,181,3305,4835,17.15,31,Female,Korea,citizen,274ce814-88f3-46f6-8d56-91ecb569f757,,
Instagram,e297aeff-1051-4613-9e22-5fec7b94ac0a,Image,Parent official public dark study.,07/06/2021 00:46:10,605,386,107,8412,1169,93.93,59,Other,Iceland,office,,Positive,
Twitter,03210c56-5d11-4c12-ac74-4f33dcca01ad,Link,Interest never pull trouble throughout.,01/10/2023 17:08:35,518,247,58,6117,4464,18.44,53,Male,Turkey,machine,4a53c98c-c025-4c6a-8745-3a487254a326,,
Facebook,fc14e9dd-c5fb-4de6-88ec-07f0b2c8829c,Video,Note star account page interview direction main war.,12/12/2022 17:36:57,376,25,172,9855,4202,13.64,34,Female,Sudan,realize,,Positive,
LinkedIn,363d03c7-4e19-4cd1-9413-b99a2a390939,Image,Truth air rest store.,10/16/2021 01:36:17,689,144,162,1734,1056,94.22,47,Other,French Guiana,ground,,,
Facebook,598e33e3-59b4-4054-b138-0a5915e8f2c5,Link,Protect save attention short quality.,01/23/2022 11:12:07,877,128,78,1384,660,164.09,25,Female,Afghanistan,quality,,Positive,
LinkedIn,2227dcab-53b4-4a5e-90c2-79cd7e853e10,Link,Take cell cell certain decision.,11/28/2021 01:54:39,742,198,20,2412,2517,38.14,30,Male,Kazakhstan,actually,ed333906-1664-467d-8c42-87569e2e9ec4,,
Twitter,91e2bc5e-59bc-4737-84ca-7a5fa77ea0cd,Link,Speak hold evidence job add.,10/12/2023 04:21:27,197,130,40,9351,1971,18.62,49,Other,Lebanon,glass,,,
Instagram,cf12dd22-de23-482c-b632-4bf5062c57bb,Link,Behind organization forget argue.,04/11/2023 15:05:54,657,260,200,2257,705,158.44,51,Other,El Salvador,something,a0edff02-7590-4f5e-b81f-fca7172fcd73,Neutral,
Instagram,cc95044a-8e88-4ccd-b012-316c4637dd78,Image,Strategy threat structure reality law hospital else.,03/21/2021 23:42:19,952,151,33,9780,1125,100.98,59,Male,Reunion,television,,Negative,9d0f660f-c482-417a-ade5-c0abbf1ea859
Facebook,709a0bab-2ba4-4722-8df5-06ecce0b134a,Link,List prove state threat off energy.,10/16/2023 13:24:54,732,243,192,4752,3141,37.15,62,Female,Chad,reality,,Positive,
Facebook,ce8f74e2-82a5-4bc9-980c-044434d67632,Link,Affect cell low shoulder Mr might cup see.,06/03/2023 22:21:14,82,397,8,6621,3944,12.35,23,Female,Cyprus,crime,e18b1ac3-f43c-4a6a-a3d5-0fb1f6dc070c,,
LinkedIn,3fcfb26a-e665-4e3a-8935-0317c4ca7162,Link,When simple his might clear check try.,07/24/2022 03:02:45,120,178,147,7578,1897,23.46,25,Male,Finland,his,,Neutral,
Instagram,124e66c1-1faf-4cc8-821b-43364d21bb96,Video,Trade reason buy husband.,09/06/2021 08:41:04,876,205,104,6396,1268,93.45,41,Other,Cote d'Ivoire,quality,,Negative,
Facebook,66f56c2e-b673-45c7-863d-78b30d3565c8,Video,Front agency would store movie author.,03/04/2022 03:59:17,891,271,0,7506,2664,43.62,41,Other,Brazil,myself,,,
Instagram,789c8f8c-b2e3-442a-a3da-20502b83ce6f,Link,Sea consumer worry current.,06/09/2022 00:27:22,203,178,29,6437,2404,17.05,34,Female,United States Minor Outlying Islands,site,,,
Facebook,9e2ec254-c509-4603-a2a9-9a52010fd771,Link,Current over off certainly edge.,03/23/2022 06:39:01,100,235,161,7702,2674,18.55,23,Male,Antigua and Barbuda,continue,,Positive,
Twitter,7f632cb0-f263-40f1-9fff-e5d5147deb72,Link,Bag join space fight environment do idea boy.,04/09/2023 20:48:25,877,139,95,9843,2795,39.75,23,Male,Algeria,less,,,
LinkedIn,837670b7-d9a8-43ea-8312-8285a401cab4,Video,Left leg girl low own state many.,11/24/2021 03:43:42,731,350,194,4630,3487,36.56,33,Female,Cote d'Ivoire,while,,Negative,09fd85ec-fe5b-456a-9f30-807638b5fb4d
LinkedIn,7ef52759-bfc3-4cf8-b215-8def3256c157,Link,Collection year draw bar front.,02/24/2023 14:39:12,810,374,17,3240,1161,103.45,30,Female,Germany,paper,,Negative,0c3489a8-16f7-45c5-bced-52bc50fe8644
Instagram,b0fd3aa8-0ce0-4f22-878f-d9c4d9839930,Link,Young can brother.,08/31/2023 07:12:15,820,307,137,3001,2356,53.65,22,Female,Morocco,difference,,,
Facebook,8657bdfa-b6ee-4123-815d-d54473974c3c,Video,Doctor increase easy second left significant.,04/13/2023 18:26:09,303,200,128,4025,656,96.19,21,Female,Uganda,final,,Neutral,56f0c814-0a28-444e-b93a-85f35a3e6a50
LinkedIn,5008cc75-5c01-44cf-8ad4-d5e255658348,Image,Sense machine ago past.,01/04/2024 07:50:07,513,221,120,6560,4301,19.86,32,Male,Singapore,consumer,d9601e4b-5be6-44eb-8216-f972a4371251,Neutral,
LinkedIn,a650c5e9-1948-4afa-bbbc-abfa9de1728a,Link,Organization family after week hot.,07/27/2022 14:04:25,344,97,161,7569,1615,37.28,45,Other,Gibraltar,soon,,Positive,67325eaf-81fb-405b-8786-1918430b054d
Instagram,f065ce90-a4fe-4875-9e7f-0b8e6d0ffed5,Link,Together rather how table like.,05/25/2023 15:27:32,740,227,153,4186,890,125.84,33,Other,Kiribati,push,,,
Instagram,b39e8d23-af9a-4736-8f1b-7c4cbe863a99,Image,He group energy subject very safe.,10/03/2021 10:00:36,877,4,140,5645,3159,32.32,50,Male,Iran,enter,5f8f5934-82e4-4523-8d7f-8f8480dc2a2f,,
Instagram,ab443b0a-ebab-4292-8b36-309eeb7be757,Video,Pay until improve simply.,01/14/2024 01:13:44,385,272,36,6883,807,85.87,56,Male,Argentina,career,,,9f33b585-cff9-47c2-8756-37132b964183
Twitter,f404b0ad-1dc5-4a50-a8c3-09b9a8bccae6,Link,Sense run pattern yet customer.,03/10/2023 17:12:09,464,428,170,8388,4703,22.58,50,Male,Aruba,wear,,,
LinkedIn,00e380c6-f4cc-4bd1-b0e9-736716b1fe8e,Image,Have body religious.,10/11/2022 03:29:52,652,329,51,9821,2912,35.44,55,Female,Paraguay,plan,,,
Facebook,205c3520-0272-42a6-98d4-168c6113c372,Image,Bar clearly camera share network authority road.,02/07/2022 11:12:03,243,138,172,3475,1251,44.2,56,Other,Saudi Arabia,sort,,,
Facebook,7b9eb9e5-90fd-4e1e-bcab-3870695acfe8,Image,Summer eight PM dog make.,02/11/2024 22:31:13,14,466,114,9067,3404,17.45,59,Male,Hungary,answer,,Positive,
Instagram,3dce4289-0113-4e62-8d26-c69bb7eef9ce,Video,About although draw list another miss.,08/07/2021 09:30:33,294,424,45,5500,2040,37.4,31,Other,New Caledonia,cost,,,
Facebook,92792fbe-51e0-4684-8b11-f4715f255536,Link,Drive serve perform she phone international prevent two.,02/20/2022 15:20:30,199,442,93,2777,1012,72.53,42,Male,Grenada,far,8635d732-0b84-4ff6-a4f2-84246e403956,Negative,
LinkedIn,ea655202-f4de-4653-abfe-6481ea76cbd4,Video,Enough treat involve admit house.,04/06/2023 07:35:37,370,441,133,6532,784,120.41,62,Female,Slovakia (Slovak Republic),president,,Neutral,
LinkedIn,c69a0eaa-fa11-4142-b2c8-59cce0622eff,Link,Single before seven recent knowledge fly pull.,06/27/2022 16:35:58,145,52,156,3516,1081,32.65,37,Female,Bulgaria,relate,,Positive,
Twitter,961566aa-e5a7-41bb-bc2d-edeaee1123ac,Link,About pass use understand expert investment.,11/25/2022 01:20:13,812,434,72,5258,3107,42.42,27,Female,Lao People's Democratic Republic,toward,,,
Facebook,49bc9b19-a4f6-4a83-b788-14ed8e09af1b,Image,Push serious movement evening.,04/24/2022 05:02:37,916,229,85,5444,4896,25.12,38,Other,Estonia,eat,,,
Twitter,1568c275-43b4-407c-942f-ea3c3d1e4452,Video,Official just others.,03/18/2023 20:25:46,897,151,186,7205,2226,55.44,57,Male,Mauritius,trade,,,
Twitter,011e6868-98c4-4a8e-98a1-1bd6a729c501,Link,Senior will five know beat born.,11/24/2022 01:29:11,0,33,62,9603,786,12.09,59,Female,Saint Helena,southern,,,
Twitter,63896c6e-cae6-41bd-bcc2-d23a16a36233,Image,Employee rest agreement contain particularly.,07/09/2022 14:08:39,446,88,73,7326,4778,12.7,37,Female,Barbados,because,776ea19a-91e9-4d8e-94c9-4610c82aacd9,Negative,
LinkedIn,27e38262-cc91-4f93-9975-3f5743d98335,Link,Ask method true such risk whatever bit foreign.,08/03/2021 17:37:44,380,23,81,6916,3988,12.14,44,Male,Haiti,decade,,,
Twitter,647afd39-ebc8-48ed-afeb-af4b2c57c7c8,Image,Less concern while anything election success.,04/10/2021 21:40:05,769,373,30,5206,578,202.77,54,Female,Tonga,boy,,Positive,
Facebook,cfc7d1a5-b07a-40fe-b338-950b946d5cee,Video,Office station century before foreign your.,09/24/2023 19:38:52,302,72,106,6733,980,48.98,65,Other,Mauritania,happy,,,
Twitter,a0eca87c-d908-478b-99b8-1e98d087675b,Video,Experience direction production later attorney.,12/05/2021 00:54:58,585,459,54,3585,4951,22.18,42,Other,Mali,far,,,a25e22a3-07ca-4d00-9fe5-ce49cd491a10
Facebook,a1e0a08e-39bf-400d-9727-80659ed48cf9,Link,Ability trial impact young technology.,02/08/2023 20:52:13,528,463,86,1418,1828,58.92,19,Other,Jersey,hotel,,Positive,
Instagram,e06d8e0b-77a3-450c-8f01-7a5358a881b4,Video,Notice new cultural myself.,05/22/2021 06:59:42,86,219,25,8584,2601,12.69,26,Other,Gibraltar,lose,,Positive,
Twitter,61c45ee0-d2e2-495e-8699-b4540106ed92,Link,Son year good suffer action new.,01/05/2022 21:35:59,997,72,9,7344,1064,101.32,28,Other,Solomon Islands,air,,Neutral,
Twitter,eaf1a800-5a0d-41ac-b631-846e9a6436a0,Video,Light gun cover not rate man under.,08/11/2022 18:35:18,145,66,124,3972,2049,16.35,63,Male,Switzerland,fear,,,
Instagram,1570277c-e865-4e31-8842-f6465618b7cf,Video,Including west trial around political without.,05/31/2021 21:17:09,441,314,124,9374,2905,30.26,43,Male,Venezuela,hour,7f873449-82ac-4368-a64b-cb57fb9981ce,,
Facebook,5494fb7e-4346-437c-9773-338f874a4f66,Image,All guess really idea fact.,12/16/2023 17:33:00,326,132,25,8443,2806,17.21,64,Male,Belize,very,,,
Twitter,d86d52c9-2d7c-4475-b0cf-d212b5546b41,Image,Small successful consumer word know hard.,07/02/2021 13:36:07,872,111,117,3625,1586,69.36,20,Other,Wallis and Futuna,exactly,,Negative,
LinkedIn,c61e42f1-d06c-4dcb-8cff-4f961ddbea9a,Link,Buy prove some.,01/19/2024 03:42:40,440,255,139,1395,3722,22.41,42,Other,French Southern Territories,home,,Neutral,
Twitter,7a800341-62b1-4038-84ef-650d47f31670,Image,Receive skin stock strong history over idea.,02/18/2022 14:19:53,536,441,193,6546,876,133.56,24,Male,Aruba,cover,42326f27-88e7-4a8d-8a40-94862a4c5f08,Neutral,
Instagram,77d5930a-a35a-4853-a99a-80e6730b9fb6,Image,Century whom stay health a training sound.,11/18/2023 10:30:04,877,403,25,5504,2734,47.73,39,Male,Sri Lanka,me,,Neutral,
Instagram,a02f3c3f-873a-4dc6-9c98-c5db865ecee6,Image,Firm case ball.,02/12/2023 12:52:32,371,367,126,9325,2919,29.6,25,Male,Ukraine,major,,Positive,
LinkedIn,21e63884-db58-4cb1-93d4-9ea65161ba50,Link,Director claim leader foot create movie author because.,04/19/2022 20:07:41,502,497,148,9303,3905,29.37,34,Male,Bhutan,condition,,,
Facebook,515b4972-4570-4dc6-930c-f18a2a13049c,Link,Walk best according available nearly.,12/30/2022 14:37:14,142,414,116,3966,595,112.94,64,Other,British Virgin Islands,loss,,,
Instagram,535ff1f3-e0df-47c7-a23e-b8629597707e,Link,Trip star keep purpose a social.,11/28/2023 08:11:31,281,199,104,1547,4528,12.9,26,Male,Ukraine,son,,,
Twitter,9e65d0ce-e8f3-406c-9be5-bf6415a4505b,Video,Well east relate idea science enjoy.,10/23/2023 02:19:54,659,215,32,7023,3934,23.03,35,Female,Holy See (Vatican City State),night,,,
Instagram,d710b54b-f13a-4abb-8844-1a489aaf2492,Image,Fill weight fund high thing commercial.,03/29/2021 06:42:51,837,118,147,6483,2319,47.52,22,Other,Russian Federation,old,,,
Instagram,d114a6a1-252f-4fd1-b494-9d3a7aa4aa89,Video,Approach capital degree response day fly pass.,05/24/2021 05:23:18,341,120,26,4652,3752,12.98,55,Female,Dominican Republic,general,,,6d2470d8-3e20-46d5-9403-3d1b03fbd7ad
Instagram,b8ce0871-c25f-42ae-b4d2-3fbb95da4492,Image,Win offer physical shake one everything campaign.,11/03/2022 22:45:47,34,458,5,1911,2047,24.28,23,Other,Denmark,cultural,,Neutral,f57670f7-6544-4214-a304-d0090d971e80
Facebook,0d0f9b4d-126e-4312-97dd-e6faa38a8d31,Video,Stop tree cell camera mouth what.,09/10/2022 04:47:41,143,8,34,2360,3433,5.39,39,Male,Bolivia,major,567c142e-0b89-4161-a241-53ef4fa4aeeb,,
Facebook,c6cb57a4-30f0-4479-8faa-7c890dfe5b00,Link,Hope training life once.,02/13/2022 04:37:46,582,63,69,8207,2469,28.92,52,Other,Myanmar,speech,814a7381-d8ec-42a9-8435-f10d60f08816,Negative,
LinkedIn,f8b6c1df-c328-443f-81a0-a854f9d4c4ec,Image,Without land safe I enough figure evidence.,09/04/2022 22:00:34,74,425,59,3972,3850,14.49,44,Male,Comoros,move,,Neutral,
Instagram,91924a08-f836-4887-8a33-88c83577a6eb,Video,Station weight rule today.,09/15/2023 05:51:01,102,339,191,9035,3820,16.54,51,Other,Cyprus,dog,ac9d1ebc-6bc1-4992-9af8-3edefdacf671,Positive,b548578d-82a9-4a8b-8fa9-99ef03d12de5
Twitter,41b17d74-c2fa-4b77-8fe9-4e4417a4756e,Link,Enough cut hair radio return.,03/12/2022 20:17:43,154,63,50,8765,4521,5.91,60,Other,Grenada,ever,,,
Twitter,453d76b9-23e4-4f28-8869-a6a5f96547d0,Image,Summer once imagine hotel plant better me.,02/10/2024 03:08:28,350,232,176,4301,738,102.71,61,Male,United States Minor Outlying Islands,across,,Positive,
Instagram,97634d9c-a745-4751-af4b-21d88ad7f273,Video,Keep relationship front growth believe rate little science.,04/08/2023 18:27:59,784,32,127,5630,3584,26.31,20,Female,British Indian Ocean Territory (Chagos Archipelago),teacher,,,
Facebook,ea63ee08-c599-4746-b39f-b81bc3298732,Video,Billion plant student station.,08/30/2021 08:41:25,230,194,33,2190,2516,18.16,50,Other,Cameroon,my,,Neutral,
Twitter,dc1ba2d8-bab0-424c-9be8-2a9b7711dc41,Link,Although teacher woman.,02/07/2024 23:48:20,682,428,18,5200,4313,26.15,25,Male,Belize,source,,,
Facebook,c75ea54f-f00f-4603-ad88-c191dcc8efc2,Link,Training defense chair everybody light red say perform.,01/12/2023 22:38:48,587,171,84,6177,3293,25.57,28,Female,Bangladesh,itself,,,
Facebook,86f3aeb5-f558-4890-9db4-4164720e28da,Video,Hundred individual choose threat significant reduce market.,02/19/2024 03:11:08,631,219,22,6402,3751,23.25,22,Female,Guernsey,run,bea5ba1b-f206-4f07-ab10-f3fa79c9dda4,,
LinkedIn,da722214-5c34-4cb7-a509-fd33f625bcf6,Image,Development yeah specific shoulder use.,07/03/2022 12:41:41,280,86,82,3214,1808,24.78,56,Female,Romania,reality,,Negative,
LinkedIn,3abac300-3e6d-4f3e-ba85-588e42cdfaf9,Video,Community may right middle election hit.,09/30/2023 09:09:48,675,9,82,9641,526,145.63,42,Female,Andorra,major,,Neutral,
Facebook,d4223865-2170-4c37-a0ba-a29d2b5319e4,Link,Nothing later draw some some that.,07/07/2023 05:15:02,574,218,186,1429,2551,38.34,51,Male,Ukraine,or,72c522e2-3829-4b52-a625-ccbf643c9c3d,Neutral,
LinkedIn,75414d05-0d1e-4da6-8cc5-7b9e543baa23,Link,Book run next face call thing scientist.,05/20/2022 06:43:32,566,56,12,8794,3180,19.94,60,Female,Trinidad and Tobago,deal,,,
Facebook,7c8dae4b-bc80-41c9-9c23-b263e22c70bc,Image,Look perform rest glass staff future.,09/16/2023 01:52:08,166,472,32,6799,3069,21.83,55,Female,Nauru,series,,Neutral,
Instagram,761084f6-e19c-4bbf-8705-7b6d57f742ab,Image,Establish both least total.,08/14/2023 22:53:20,737,4,3,2350,3137,23.72,65,Female,Reunion,perhaps,,Neutral,
